date,city,cid,industry,platform,number,amount
2016/7/1,臺北市,A,傳播及節目播送業,無載具,14700,233464386
2016/7/1,臺北市,A,其他專業、科學及技術服務業,無載具,147,1917246
2016/7/1,臺北市,A,其他社會工作服務業,無載具,3692,1224000
2016/7/1,臺北市,A,其他製造業,無載具,759,1045118
2016/7/1,臺北市,A,出版業,無載具,102361,212802006
2016/7/1,臺北市,A,創作及藝術表演業,無載具,1413,4318930
2016/7/1,臺北市,A,化學材料製造業,無載具,1778,2364205
2016/7/1,臺北市,A,化學製品製造業,無載具,49,80665
2016/7/1,臺北市,A,印刷及資料儲存媒體複製業,無載具,1089,927378
2016/7/1,臺北市,A,土木工程業,無載具,2149,5424700
2016/7/1,臺北市,A,宗教、職業及類似組織,無載具,2159,3462759
2016/7/1,臺北市,A,專門營造業,無載具,20135,20768222
2016/7/1,臺北市,A,專門設計服務業,無載具,1486,7244927
2016/7/1,臺北市,A,廢棄物清除、處理及資源回收業,無載具,168438,61418336
2016/7/1,臺北市,A,廣告業及市場研究業,無載具,9614,43587492
2016/7/1,臺北市,A,建築、工程服務及技術檢測、分析服務業,無載具,1853,18723123
2016/7/1,臺北市,A,建築物及綠化服務業,無載具,346,1387403
2016/7/1,臺北市,A,影片服務、聲音錄製及音樂出版業,無載具,442676,639477417
2016/7/1,臺北市,A,成衣及服飾品製造業,無載具,69,92668
2016/7/1,臺北市,A,批發業,無載具,4116002,5586995959
2016/7/1,臺北市,A,教育服務業,無載具,10142,69775429
2016/7/1,臺北市,A,旅行及相關代訂服務業,無載具,39,3149371
2016/7/1,臺北市,A,未分類其他服務業,無載具,14912,116872316
2016/7/1,臺北市,A,業務及辦公室支援服務業,無載具,239,1880084
2016/7/1,臺北市,A,污染整治業,無載具,58660,22781757
2016/7/1,臺北市,A,汽車及其零件製造業,無載具,223,1045433
2016/7/1,臺北市,A,產業用機械設備維修及安裝業,無載具,6386,36813846
2016/7/1,臺北市,A,石油及煤製品製造業,無載具,106213,43727018
2016/7/1,臺北市,A,研究發展服務業,無載具,723,29470886
2016/7/1,臺北市,A,租賃業,無載具,11583,34250449
2016/7/1,臺北市,A,航空運輸業,無載具,8826,97744511
2016/7/1,臺北市,A,藥品及醫用化學製品製造業,無載具,3,1332
2016/7/1,臺北市,A,證券期貨及其他金融業,無載具,151003,129240232
2016/7/1,臺北市,A,資料處理及資訊供應服務業,無載具,724345,1283503443
2016/7/1,臺北市,A,農、牧業,無載具,427,8859192
2016/7/1,臺北市,A,運動、娛樂及休閒服務業,無載具,373209,335963851
2016/7/1,臺北市,A,運輸輔助業,無載具,449430,403442074
2016/7/1,臺北市,A,郵政及快遞業,無載具,8601,3350755
2016/7/1,臺北市,A,醫療保健服務業,無載具,42,76248
2016/7/1,臺北市,A,金融中介業,無載具,1384,132864385
2016/7/1,臺北市,A,陸上運輸業,無載具,199021,23017914
2016/7/1,臺北市,A,零售業,無載具,64719475,20290886175
2016/7/1,臺北市,A,電信業,無載具,207555,2814784839
2016/7/1,臺北市,A,電力及燃氣供應業,無載具,3867,23932921
2016/7/1,臺北市,A,電力設備製造業,無載具,11,19800
2016/7/1,臺北市,A,電子零組件製造業,無載具,440,6365833
2016/7/1,臺北市,A,電腦、電子產品及光學製品製造業,無載具,413,1038426
2016/7/1,臺北市,A,電腦系統設計服務業,無載具,75941,185449893
2016/7/1,臺北市,A,食品製造業,無載具,271456,335604837
2016/7/1,臺北市,A,飲料製造業,無載具,5394,5677263
2016/7/1,臺北市,A,餐飲業,無載具,9224686,1971734708
2016/7/1,臺北市,A,不動產經營及相關服務業,使用載具,3531,4496022
2016/7/1,臺北市,A,不動產開發業,使用載具,4601,8189700
2016/7/1,臺北市,A,企業總管理機構及管理顧問業,使用載具,12602,20740597
2016/7/1,臺北市,A,住宿服務業,使用載具,9,21137
2016/7/1,臺北市,A,保險業,使用載具,3687,3140072
2016/7/1,臺北市,A,倉儲業,使用載具,1,1120
2016/7/1,臺北市,A,個人及家庭用品維修業,使用載具,11838,25926239
2016/7/1,臺北市,A,傳播及節目播送業,使用載具,208689,309530544
2016/7/1,臺北市,A,出版業,使用載具,9605,12943431
2016/7/1,臺北市,A,創作及藝術表演業,使用載具,1041,2506393
2016/7/1,臺北市,A,化學製品製造業,使用載具,114,103772
2016/7/1,臺北市,A,專門營造業,使用載具,62090,72624910
2016/7/1,臺北市,A,專門設計服務業,使用載具,1181,3774465
2016/7/1,臺北市,A,廢棄物清除、處理及資源回收業,使用載具,609,85661
2016/7/1,臺北市,A,廣告業及市場研究業,使用載具,24779,34113604
2016/7/1,臺北市,A,建築物及綠化服務業,使用載具,1163,2831636
2016/7/1,臺北市,A,影片服務、聲音錄製及音樂出版業,使用載具,1492908,2595419281
2016/7/1,臺北市,A,成衣及服飾品製造業,使用載具,1110,1593653
2016/7/1,臺北市,A,批發業,使用載具,556834,540602416
2016/7/1,臺北市,A,教育服務業,使用載具,3395,4347260
2016/7/1,臺北市,A,旅行及相關代訂服務業,使用載具,612,694597
2016/7/1,臺北市,A,未分類其他服務業,使用載具,86063,503384522
2016/7/1,臺北市,A,污染整治業,使用載具,516,157328
2016/7/1,臺北市,A,產業用機械設備維修及安裝業,使用載具,10425,49960285
2016/7/1,臺北市,A,用水供應業,使用載具,755852,553163098
2016/7/1,臺北市,A,石油及煤製品製造業,使用載具,434,266369
2016/7/1,臺北市,A,租賃業,使用載具,156,1729011
2016/7/1,臺北市,A,航空運輸業,使用載具,21,67008
2016/7/1,臺北市,A,藥品及醫用化學製品製造業,使用載具,14,6449
2016/7/1,臺北市,A,證券期貨及其他金融業,使用載具,691971,546397497
2016/7/1,臺北市,A,資料處理及資訊供應服務業,使用載具,3816155,2208145047
2016/7/1,臺北市,A,運動、娛樂及休閒服務業,使用載具,35797,48036704
2016/7/1,臺北市,A,運輸輔助業,使用載具,24048,7172738
2016/7/1,臺北市,A,郵政及快遞業,使用載具,6769,1082153
2016/7/1,臺北市,A,金融中介業,使用載具,1490,13536690
2016/7/1,臺北市,A,陸上運輸業,使用載具,6166,1038860
2016/7/1,臺北市,A,零售業,使用載具,9438219,4445994129
2016/7/1,臺北市,A,電信業,使用載具,16211040,16267023889
2016/7/1,臺北市,A,電力及燃氣供應業,使用載具,650395,5070545866
2016/7/1,臺北市,A,電力設備製造業,使用載具,5,2534
2016/7/1,臺北市,A,電子零組件製造業,使用載具,1687,3412963
2016/7/1,臺北市,A,電腦系統設計服務業,使用載具,62968,111947011
2016/7/1,臺北市,A,食品製造業,使用載具,2126,1766427
2016/7/1,臺北市,A,飲料製造業,使用載具,92,62562
2016/7/1,臺北市,A,餐飲業,使用載具,82723,13388989
2016/6/1,臺北市,A,不動產經營及相關服務業,無載具,39169,80195478
2016/6/1,臺北市,A,不動產開發業,無載具,1407451,1988052735
2016/6/1,臺北市,A,人力仲介及供應業,無載具,348,367141
2016/6/1,臺北市,A,企業總管理機構及管理顧問業,無載具,56209,81453867
2016/6/1,臺北市,A,住宿服務業,無載具,43927,381162395
2016/6/1,臺北市,A,保險業,無載具,837,324983469
2016/6/1,臺北市,A,倉儲業,無載具,18347,24306744
2016/6/1,臺北市,A,個人及家庭用品維修業,無載具,10300,84197747
2016/6/1,臺北市,A,傳播及節目播送業,無載具,13888,154890496
2016/6/1,臺北市,A,其他專業、科學及技術服務業,無載具,141,1140463
2016/6/1,臺北市,A,其他社會工作服務業,無載具,3464,817585
2016/6/1,臺北市,A,其他製造業,無載具,667,1019427
2016/6/1,臺北市,A,出版業,無載具,112870,268175722
2016/6/1,臺北市,A,創作及藝術表演業,無載具,1463,6150047
2016/6/1,臺北市,A,化學材料製造業,無載具,1684,2120865
2016/6/1,臺北市,A,化學製品製造業,無載具,69,90009
2016/6/1,臺北市,A,印刷及資料儲存媒體複製業,無載具,1202,998959
2016/6/1,臺北市,A,土木工程業,無載具,2151,5938861
2016/6/1,臺北市,A,宗教、職業及類似組織,無載具,1753,3233265
2016/6/1,臺北市,A,專門營造業,無載具,33502,31445923
2016/6/1,臺北市,A,專門設計服務業,無載具,1589,5022737
2016/6/1,臺北市,A,廢棄物清除、處理及資源回收業,無載具,168782,62421447
2016/6/1,臺北市,A,廣告業及市場研究業,無載具,9248,42896801
2016/6/1,臺北市,A,建築、工程服務及技術檢測、分析服務業,無載具,1809,18398773
2016/6/1,臺北市,A,建築物及綠化服務業,無載具,305,1063791
2016/6/1,臺北市,A,影片服務、聲音錄製及音樂出版業,無載具,421358,634375917
2016/6/1,臺北市,A,成衣及服飾品製造業,無載具,67,127639
2016/6/1,臺北市,A,批發業,無載具,3817978,5499720926
2016/6/1,臺北市,A,教育服務業,無載具,8515,62283649
2016/6/1,臺北市,A,旅行及相關代訂服務業,無載具,21,3131295
2016/6/1,臺北市,A,未分類其他服務業,無載具,14051,119277877
2016/6/1,臺北市,A,業務及辦公室支援服務業,無載具,190,2289626
2016/6/1,臺北市,A,污染整治業,無載具,57842,23372576
2016/6/1,臺北市,A,汽車及其零件製造業,無載具,296,2559620
2016/6/1,臺北市,A,產業用機械設備維修及安裝業,無載具,5523,33430938
2016/6/1,臺北市,A,石油及煤製品製造業,無載具,103955,44170350
2016/6/1,臺北市,A,研究發展服務業,無載具,1091,35399902
2016/6/1,臺北市,A,租賃業,無載具,9718,36444165
2016/6/1,臺北市,A,航空運輸業,無載具,8780,123750588
2016/6/1,臺北市,A,證券期貨及其他金融業,無載具,136170,116974004
2016/6/1,臺北市,A,資料處理及資訊供應服務業,無載具,721059,1256278564
2016/6/1,臺北市,A,農、牧業,無載具,499,9959427
2016/6/1,臺北市,A,運動、娛樂及休閒服務業,無載具,398055,362633172
2016/6/1,臺北市,A,運輸輔助業,無載具,440700,422215722
2016/6/1,臺北市,A,郵政及快遞業,無載具,9159,2721311
2016/6/1,臺北市,A,醫療保健服務業,無載具,45,154826
2016/6/1,臺北市,A,金屬製品製造業,無載具,3,306340
2016/6/1,臺北市,A,金融中介業,無載具,1282,123647636
2016/6/1,臺北市,A,陸上運輸業,無載具,183726,19590522
2016/6/1,臺北市,A,零售業,無載具,61891476,18709055849
2016/6/1,臺北市,A,電信業,無載具,209208,2145719838
2016/6/1,臺北市,A,電力及燃氣供應業,無載具,3283,14444566
2016/6/1,臺北市,A,電子零組件製造業,無載具,476,7044153
2016/6/1,臺北市,A,電腦、電子產品及光學製品製造業,無載具,224,1149700
2016/6/1,臺北市,A,電腦系統設計服務業,無載具,27835,88730510
2016/6/1,臺北市,A,食品製造業,無載具,228392,320692661
2016/6/1,臺北市,A,飲料製造業,無載具,5600,5662844
2016/6/1,臺北市,A,餐飲業,無載具,8363490,1861674188
2016/6/1,臺北市,A,不動產經營及相關服務業,使用載具,568,677994
2016/6/1,臺北市,A,不動產開發業,使用載具,4184,8330696
2016/6/1,臺北市,A,企業總管理機構及管理顧問業,使用載具,8647,15513714
2016/6/1,臺北市,A,住宿服務業,使用載具,3,2651
2016/6/1,臺北市,A,保險業,使用載具,3263,2818642
2016/6/1,臺北市,A,個人及家庭用品維修業,使用載具,11906,25060515
2016/6/1,臺北市,A,傳播及節目播送業,使用載具,200218,295490540
2016/6/1,臺北市,A,出版業,使用載具,10530,15640141
2016/6/1,臺北市,A,創作及藝術表演業,使用載具,2342,5155018
2016/6/1,臺北市,A,化學製品製造業,使用載具,101,108738
2016/6/1,臺北市,A,專門營造業,使用載具,49676,75786381
2016/6/1,臺北市,A,專門設計服務業,使用載具,943,3019509
2016/6/1,臺北市,A,廢棄物清除、處理及資源回收業,使用載具,565,88552
2016/6/1,臺北市,A,廣告業及市場研究業,使用載具,34171,47224623
2016/6/1,臺北市,A,建築物及綠化服務業,使用載具,981,2482182
2016/6/1,臺北市,A,影片服務、聲音錄製及音樂出版業,使用載具,1458225,2585781759
2016/6/1,臺北市,A,成衣及服飾品製造業,使用載具,1224,1920847
2016/6/1,臺北市,A,批發業,使用載具,589740,590224481
2016/6/1,臺北市,A,教育服務業,使用載具,3373,4326428
2016/6/1,臺北市,A,旅行及相關代訂服務業,使用載具,597,596146
2016/6/1,臺北市,A,未分類其他服務業,使用載具,85555,505859971
2016/6/1,臺北市,A,污染整治業,使用載具,460,125396
2016/6/1,臺北市,A,產業用機械設備維修及安裝業,使用載具,9004,47174721
2016/6/1,臺北市,A,用水供應業,使用載具,791631,552435721
2016/6/1,臺北市,A,石油及煤製品製造業,使用載具,461,310649
2016/6/1,臺北市,A,租賃業,使用載具,138,1506157
2016/6/1,臺北市,A,航空運輸業,使用載具,26,42584
2016/6/1,臺北市,A,證券期貨及其他金融業,使用載具,612317,489701207
2016/6/1,臺北市,A,資料處理及資訊供應服務業,使用載具,4009116,2347570255
2016/6/1,臺北市,A,運動、娛樂及休閒服務業,使用載具,36198,47660414
2016/6/1,臺北市,A,運輸輔助業,使用載具,19395,2788304
2016/6/1,臺北市,A,郵政及快遞業,使用載具,8766,1306508
2016/6/1,臺北市,A,金融中介業,使用載具,1209,11702349
2016/6/1,臺北市,A,陸上運輸業,使用載具,7060,1111711
2016/6/1,臺北市,A,零售業,使用載具,9100957,4337913128
2016/6/1,臺北市,A,電信業,使用載具,15344079,15578401351
2016/6/1,臺北市,A,電力及燃氣供應業,使用載具,649222,4316492803
2016/6/1,臺北市,A,電力設備製造業,使用載具,6,1721
2016/6/1,臺北市,A,電子零組件製造業,使用載具,1815,3303089
2016/6/1,臺北市,A,電腦系統設計服務業,使用載具,70082,118299926
2016/6/1,臺北市,A,食品製造業,使用載具,2419,2048134
2016/6/1,臺北市,A,飲料製造業,使用載具,81,107898
2016/6/1,臺北市,A,餐飲業,使用載具,80496,12976262
2016/5/1,臺北市,A,不動產經營及相關服務業,無載具,28606,90235498
2016/5/1,臺北市,A,不動產開發業,無載具,1373417,2368743318
2016/5/1,臺北市,A,人力仲介及供應業,無載具,339,364011
2016/5/1,臺北市,A,企業總管理機構及管理顧問業,無載具,63936,89325612
2016/5/1,臺北市,A,住宿服務業,無載具,44630,370618751
2016/5/1,臺北市,A,保險業,無載具,804,300719063
2016/5/1,臺北市,A,倉儲業,無載具,17586,22623664
2016/5/1,臺北市,A,個人及家庭用品維修業,無載具,9054,82412071
2016/5/1,臺北市,A,傳播及節目播送業,無載具,13244,174869248
2016/5/1,臺北市,A,其他專業、科學及技術服務業,無載具,166,1751799
2016/5/1,臺北市,A,其他社會工作服務業,無載具,3258,531450
2016/5/1,臺北市,A,其他製造業,無載具,688,1058686
2016/5/1,臺北市,A,出版業,無載具,86182,344303126
2016/5/1,臺北市,A,創作及藝術表演業,無載具,1244,3243913
2016/5/1,臺北市,A,化學材料製造業,無載具,2155,2748629
2016/5/1,臺北市,A,化學製品製造業,無載具,81,88882
2016/5/1,臺北市,A,印刷及資料儲存媒體複製業,無載具,1260,1023460
2016/5/1,臺北市,A,土木工程業,無載具,2258,6185545
2016/5/1,臺北市,A,宗教、職業及類似組織,無載具,1542,3617582
2016/5/1,臺北市,A,專門營造業,無載具,41172,28951238
2016/5/1,臺北市,A,專門設計服務業,無載具,1301,5441997
2016/5/1,臺北市,A,廢棄物清除、處理及資源回收業,無載具,174760,60426546
2016/5/1,臺北市,A,廣告業及市場研究業,無載具,6725,34076183
2016/5/1,臺北市,A,建築、工程服務及技術檢測、分析服務業,無載具,1808,16210226
2016/5/1,臺北市,A,建築物及綠化服務業,無載具,360,1491376
2016/5/1,臺北市,A,影片服務、聲音錄製及音樂出版業,無載具,386155,627578563
2016/5/1,臺北市,A,成衣及服飾品製造業,無載具,150,261703
2016/5/1,臺北市,A,批發業,無載具,3829963,5577955116
2016/5/1,臺北市,A,教育服務業,無載具,6636,41603930
2016/5/1,臺北市,A,旅行及相關代訂服務業,無載具,56,2903604
2016/5/1,臺北市,A,未分類其他服務業,無載具,14933,126251783
2016/5/1,臺北市,A,業務及辦公室支援服務業,無載具,5414,3933037
2016/5/1,臺北市,A,污染整治業,無載具,59481,22270477
2016/5/1,臺北市,A,汽車及其零件製造業,無載具,346,794942
2016/5/1,臺北市,A,產業用機械設備維修及安裝業,無載具,4565,29389924
2016/5/1,臺北市,A,石油及煤製品製造業,無載具,105603,42085269
2016/5/1,臺北市,A,研究發展服務業,無載具,969,13066231
2016/5/1,臺北市,A,租賃業,無載具,12430,32750204
2016/5/1,臺北市,A,航空運輸業,無載具,8445,137713431
2016/5/1,臺北市,A,證券期貨及其他金融業,無載具,139171,125585943
2016/5/1,臺北市,A,資料處理及資訊供應服務業,無載具,767354,1259973467
2016/5/1,臺北市,A,農、牧業,無載具,784,556756
2016/5/1,臺北市,A,運動、娛樂及休閒服務業,無載具,350273,293975934
2016/5/1,臺北市,A,運輸輔助業,無載具,381562,409217012
2016/5/1,臺北市,A,郵政及快遞業,無載具,8711,2686366
2016/5/1,臺北市,A,醫療保健服務業,無載具,55,257506
2016/5/1,臺北市,A,金屬製品製造業,無載具,5,68940
2016/5/1,臺北市,A,金融中介業,無載具,1307,149708045
2016/5/1,臺北市,A,陸上運輸業,無載具,179843,22835441
2016/5/1,臺北市,A,零售業,無載具,62795210,19636864713
2016/5/1,臺北市,A,電信業,無載具,207694,2115413271
2016/5/1,臺北市,A,電力及燃氣供應業,無載具,3112,24288317
2016/5/1,臺北市,A,電子零組件製造業,無載具,295,5534026
2016/5/1,臺北市,A,電腦、電子產品及光學製品製造業,無載具,271,1382283
2016/5/1,臺北市,A,電腦系統設計服務業,無載具,24322,173525438
2016/5/1,臺北市,A,食品製造業,無載具,249543,518435408
2016/5/1,臺北市,A,飲料製造業,無載具,7588,14727894
2016/5/1,臺北市,A,餐飲業,無載具,8432991,1763869297
2016/5/1,臺北市,A,不動產經營及相關服務業,使用載具,25,3415
2016/5/1,臺北市,A,不動產開發業,使用載具,3810,9911448
2016/5/1,臺北市,A,企業總管理機構及管理顧問業,使用載具,10182,18008726
2016/5/1,臺北市,A,住宿服務業,使用載具,118,507024
2016/5/1,臺北市,A,保險業,使用載具,3281,2261334
2016/5/1,臺北市,A,個人及家庭用品維修業,使用載具,12003,24324571
2016/5/1,臺北市,A,傳播及節目播送業,使用載具,207637,300203483
2016/5/1,臺北市,A,出版業,使用載具,7315,9948799
2016/5/1,臺北市,A,創作及藝術表演業,使用載具,520,2517197
2016/5/1,臺北市,A,化學製品製造業,使用載具,122,105800
2016/5/1,臺北市,A,專門營造業,使用載具,56346,75698173
2016/5/1,臺北市,A,專門設計服務業,使用載具,1002,3905996
2016/5/1,臺北市,A,廢棄物清除、處理及資源回收業,使用載具,490,68977
2016/5/1,臺北市,A,廣告業及市場研究業,使用載具,28206,37045138
2016/5/1,臺北市,A,建築物及綠化服務業,使用載具,1053,2865667
2016/5/1,臺北市,A,影片服務、聲音錄製及音樂出版業,使用載具,1487819,2628889143
2016/5/1,臺北市,A,成衣及服飾品製造業,使用載具,1483,2222890
2016/5/1,臺北市,A,批發業,使用載具,560802,584102937
2016/5/1,臺北市,A,教育服務業,使用載具,3361,4312678
2016/5/1,臺北市,A,旅行及相關代訂服務業,使用載具,676,656001
2016/5/1,臺北市,A,未分類其他服務業,使用載具,86141,486549578
2016/5/1,臺北市,A,業務及辦公室支援服務業,使用載具,22884,3880104
2016/5/1,臺北市,A,污染整治業,使用載具,540,156217
2016/5/1,臺北市,A,產業用機械設備維修及安裝業,使用載具,7095,40344467
2016/5/1,臺北市,A,用水供應業,使用載具,804558,531383840
2016/5/1,臺北市,A,石油及煤製品製造業,使用載具,422,262920
2016/5/1,臺北市,A,租賃業,使用載具,153,1712539
2016/5/1,臺北市,A,航空運輸業,使用載具,35,117584
2016/5/1,臺北市,A,證券期貨及其他金融業,使用載具,613754,479779527
2016/5/1,臺北市,A,資料處理及資訊供應服務業,使用載具,4402792,2521180206
2016/5/1,臺北市,A,運動、娛樂及休閒服務業,使用載具,34969,46863973
